date,xCMA,xSCMA
1960-07-29,,
1960-08-31,,
1960-09-30,,
1960-10-31,,
1960-11-30,,
1960-12-30,,
1961-01-31,,
1961-02-28,,
1961-03-30,,
1961-04-28,,
1961-05-31,,
1961-06-30,,
1961-07-31,0.0006739914341318404,-0.016371192724283924
1961-08-31,-0.006930735260206065,-0.010907747090061648
1961-09-29,-0.006624532985282809,-0.0004895876487225094
1961-10-31,-0.025779158884423364,0.00454945683027469
1961-11-30,-0.006510397937857425,0.007508671772680116
1961-12-29,0.009946200088752563,-0.009407913647372715
1962-01-31,0.02219767837060395,0.01719279661965146
1962-02-28,-0.008705064800598517,0.0016913674947779435
1962-03-30,0.001971838593921393,-0.0022538944866740424
1962-04-30,-0.004861339622189653,0.012681680047630844
1962-05-31,0.029874305884704105,-0.016924099190104305
1962-06-29,0.004637162068474837,0.015531668843545746
1964-07-31,0.014395710120148968,0.0100782988840404
1964-08-31,0.0008625244462942914,0.00539623062802285
1964-09-30,0.0032634954723659362,-0.0017705929888999945
1964-10-30,0.004445132351684653,0.016879056270272506
1964-11-30,-0.003388147508279045,-0.0044992059619007865
1964-12-31,-0.008693509602652003,-0.00970210602415296
1965-01-29,0.002189568404975771,0.017893691764696518
1965-02-26,-0.0034889214252279213,0.031512672211222226
1965-03-31,0.004581855388965104,0.01942065120030041
1965-04-30,-0.02182277386092418,0.008511333715370488
1965-05-28,0.008258773252210312,0.0016458286657630285
1965-06-30,-0.0022221849080398537,-0.0362037740460426
1965-07-30,0.002579008733752358,0.01498195557126904
1965-08-31,-0.011494150815566657,0.031277043886194886
1965-09-30,-0.001832181605571609,0.006996763022304162
1965-10-29,-0.010057285193191587,0.034462228452912136
1965-11-30,-0.004576187663630708,0.05138842489723104
1965-12-31,-0.008869278745361715,0.025071951986744265
1966-01-31,-0.005652611472216736,0.0451480703812252
1966-02-28,-0.018926246575019533,0.042389193989412516
1966-03-31,-0.0017178858625855678,-0.0006189004972936285
1966-04-29,-0.006089048541847435,0.02971501381609916
1966-05-31,-0.015118500741437974,-0.04757632325399743
1966-06-30,0.003796221692204693,0.02040634008911807
1966-07-29,0.016383420728721076,0.0010239076862537406
1966-08-31,0.009595307717448723,-0.02984899465777789
1966-09-30,0.026333333356333276,-0.009533119080857607
1966-10-31,0.03594445331899239,-0.04958828402915243
1966-11-30,-0.06054853754646674,0.02247938776768268
1966-12-30,-0.0021281887306331924,0.01850716658640285
1967-01-31,-0.027175063187878934,0.08936981266002395
1967-02-28,-0.008075282228175808,0.022202755978863335
1967-03-31,-0.0215598185326608,0.019764076581596325
1967-04-28,-0.03914405419138313,0.0012210536291121787
1967-05-31,0.020912234895922463,0.026272200988381435
1967-06-30,-0.025978116024730408,0.06174314111654135
1967-07-31,0.02168628540075067,0.03265455439435996
1967-08-31,0.015576909306520583,0.008913574312376956
1967-09-29,-0.010653228083165267,0.016886659238134587
1967-10-31,-0.026660915108510205,-0.004468521832141074
1967-11-30,-0.02573066862974037,-0.002635974073647271
1967-12-29,-0.002157352034674015,0.04771235955967164
1968-01-31,0.06425919700063407,0.048718597819855346
1968-02-29,0.025804660467394457,-0.030998841809602985
1968-03-29,-0.017131153221316864,-0.015320567352881065
1968-04-30,-0.03698162527510812,0.06396347772952378
1968-05-31,-0.023154527207332493,0.06956792700287301
1968-06-28,0.025562048803831533,-0.0016152069062628938
1969-07-31,0.019800704103909744,-0.035121597593765916
1969-08-29,-0.043516783244062274,0.0057719089548872796
1969-09-30,-0.0065983797690650735,0.010527237593840898
1969-10-31,-0.016286108287981563,0.03401659185813435
1969-11-28,0.001742769987643479,-0.02799544677458508
1969-12-31,-0.013107133546419028,-0.03657042744271353
1970-01-30,0.039764860139508904,0.03083280520633168
1970-02-27,0.0324563677560034,-0.019976997129374674
1970-03-31,0.045529862359125046,-0.02085136965604434
1970-04-30,0.061288137936845954,-0.05803073988375475
1970-05-29,0.04035404520498861,-0.04129096600298219
1970-06-30,0.03172101013955955,-0.017616739132713548
1970-07-31,0.017042205965691573,-0.00636619219340627
1970-08-31,0.003510460382136052,0.014176292243938952
1970-09-30,-0.05664622953086913,0.08039040125786279
1970-10-30,0.020027103412669892,-0.04466950512824499
1970-11-30,0.01373326648133883,-0.036985782389010444
1970-12-31,0.0015176469880120447,0.033108171851171465
1971-01-29,-0.0008194951374880521,0.07297082530014215
1971-02-26,-0.008818846752602874,0.016354859756875527
1971-03-31,-0.027636382730216777,0.019821527837777624
1971-04-30,0.01120106654497463,-0.000958779809503485
1971-05-28,0.0017110469749678434,-0.012365414649418927
1971-06-30,-0.015624454397577415,-0.015753731466830564
1971-07-30,0.012602017197809887,-0.011510613096271702
1971-08-31,0.02638516010534278,-0.003826914693073946
1971-09-30,-0.014102683044825181,-0.0022819509735155855
1971-10-29,-0.013244625622853487,-0.017559682692823833
1971-11-30,-0.002665508565086131,-0.03218401068398567
1971-12-31,-0.01974549929455341,0.03655703387889554
1972-01-31,0.009141848327271468,0.06304218957102259
1972-02-29,-0.0016905599201074081,0.004923566138123857
1972-03-30,0.0017410729226411004,-0.010371170200034169
1972-04-28,-0.012538089309147555,0.004490701679778502
1972-05-31,-0.019119549373850228,-0.03166434444525115
1972-06-30,-0.0027765362627041913,-0.00906456492209241
1972-07-31,-0.00901995332067606,-0.028937185218099477
1972-08-31,0.027758719625691083,-0.03040333159946395
1972-09-29,-0.01903769901170166,-0.015941271163739487
1972-10-31,0.0015851782340174942,-0.020092533816039294
1972-11-30,0.03282124365249171,-0.0007304528466852422
