date,xRMW,xSRMW
1960-07-29,-0.02292974847466222,-0.009247321209949349
1960-08-31,-0.010069952080080886,-0.00298540404580451
1960-09-30,-0.00955045740160336,-0.004120184559337797
1960-10-31,-0.009218797793685299,-0.028986783425628306
1960-11-30,0.01397011295658053,0.005551715268592106
1960-12-30,0.00301078395173323,-0.011449379287796005
1961-01-31,-0.028445420870720044,0.011597411455772033
1961-02-28,0.0010485982916805803,0.033390010565596234
1961-03-30,0.006984200587143864,0.01754427166009284
1961-04-28,-0.007984235110204553,-0.002511071886856942
1961-05-31,0.009556016200608086,0.023341234968097962
1961-06-30,0.011444465001141935,-0.01827014688490717
1961-07-31,0.012074205095316013,-0.014472685400091912
1961-08-31,0.003699280992879488,-0.002201932834321369
1961-09-29,0.03774069232779249,0.0019134760522228553
1961-10-31,0.007193594171813037,-0.005106063714644345
1961-11-30,0.0007347596338451445,0.006707137749657248
1961-12-29,-0.03574247851387694,-0.025278460958810613
1962-01-31,-0.010541213209700395,0.0161970209382582
1962-02-28,-0.01467140723197596,-0.007143538886934187
1962-03-30,-0.00028167720740336806,2.3021053463696817e-08
1962-04-30,0.001401358993856655,-0.008555494678956652
1962-05-31,-0.01574577626273352,-0.030649343508917792
1962-06-29,-0.021901797391715563,0.00433554724367953
1964-07-31,-0.00053361970574798,0.008839411037834068
1964-08-31,-0.0023574196158690913,0.006640711130952831
1964-09-30,-0.004577662040942329,-0.0047240559194063475
1964-10-30,-0.0041689784685079445,0.015863308975319367
1964-11-30,0.0045482843469055794,-0.0030290196132597012
1964-12-31,0.012149715791003577,-0.0059354556853187124
1965-01-29,0.006415251900466087,0.022004700101194666
1965-02-26,0.0034219862705023064,0.03303612300735505
1965-03-31,0.00010353362021828152,0.01875286436259215
1965-04-30,0.006660847190840605,0.007977941628635757
1965-05-28,-0.005918743877116574,-0.0010396681604736876
1965-06-30,0.0022082047901228613,-0.03877643329485394
1965-07-30,-0.014683122657797157,0.010930069589728673
1965-08-31,0.01783311194495274,0.030974780918086222
1965-09-30,-0.014550786591669244,0.009146325944907066
1965-10-29,0.011118725148559251,0.03349643350037185
1965-11-30,-4.465379350772347e-05,0.044955759707232784
1965-12-31,-0.009538170818368965,0.026175856636462748
1966-01-31,-0.017022749822708173,0.035941865523405975
1966-02-28,-0.007824600173337354,0.04177829749507739
1966-03-31,0.017090720295951843,0.002259527292702481
1966-04-29,0.0008315806418230376,0.0313901622311156
1966-05-31,0.01797286932259945,-0.04161399260560241
1966-06-30,0.0046240273026478445,0.022881103126893412
1966-07-29,-0.0034380448402242976,-5.927635252085152e-05
1966-08-31,-0.009561594208680024,-0.030244783697647798
1966-09-30,-0.017418148524338564,-0.016828541536236526
1966-10-31,-0.036777955103320735,-0.056209993436380945
1966-11-30,0.04472529399178522,0.03422982728446869
1966-12-30,0.005558100685135167,0.017353877280751162
1967-01-31,0.012498646882948022,0.09268793127424009
1967-02-28,0.017118711081568615,0.021101730568458068
1967-03-31,0.014507354343622013,0.020895065919617796
1967-04-28,0.02316220142730914,0.00527668877053427
1967-05-31,-0.009118270501879445,0.03035653104723164
1967-06-30,-0.009388725833783959,0.06304713055543705
1967-07-31,0.01179595356335389,0.03547040278964845
1967-08-31,0.0006028516638642784,0.006153018739187242
1967-09-29,0.006506270574506104,0.019618027147987736
1967-10-31,0.004886990439031961,-0.0007178698698018585
1967-11-30,0.01368730088223712,-0.0038530071861339857
1967-12-29,-0.01103092904288698,0.04934784352284298
1968-01-31,-0.0483872933583189,0.0417228937898028
1968-02-29,2.8408599142978885e-05,-0.02883500454378699
1968-03-29,0.016609471572359168,-0.012163002118234956
1968-04-30,0.029002689058493833,0.06748606653171281
1968-05-31,0.005016690437330759,0.06901570652103582
1968-06-28,-0.014289896183295445,-0.007964964644691569
1969-07-31,0.010263825416699013,-0.03454716016291343
1969-08-29,0.010714334480784696,0.007725483257980011
1969-09-30,0.03493985724395321,0.019434648904525884
1969-10-31,-0.002065147486792762,0.03528019062372243
1969-11-28,0.015595996265218466,-0.023080971229067763
1969-12-31,0.02275629874053509,-0.038702297916405455
1970-01-30,-0.015064926339175048,0.0329024298947549
1970-02-27,-0.03122626559604435,-0.028433412054258318
1970-03-31,-0.01075912542901855,-0.024780158009891393
1970-04-30,-0.010259685279557423,-0.06753132535248736
1970-05-29,-0.013216674682056173,-0.04956361701402584
1970-06-30,-0.00450326346831377,-0.025213036178819266
1970-07-31,0.0017606003924689334,-0.007146053795743443
1970-08-31,0.002250633340968519,0.019283356156038857
1970-09-30,0.0029338499468026247,0.09115112043911752
1970-10-30,0.015132900132079026,-0.04673995222313742
1970-11-30,0.014576002072694855,-0.03963913825364703
1970-12-31,0.00395577294319277,0.030006909036668465
1971-01-29,-0.02206204509554427,0.07321992584727688
1971-02-26,0.008710104952841895,0.02170339082176783
1971-03-31,0.016479098089369246,0.024714808496456568
1971-04-30,-0.014047849944778881,-0.0002686684086654484
1971-05-28,0.013046466673339044,-0.007874196821096587
1971-06-30,0.015694683160966384,-0.014699729289479954
1971-07-30,0.004149275397616545,-0.014815194445354452
1971-08-31,-0.0031312693572520534,0.003321652742285193
1971-09-30,0.021866032778054934,-0.0005873464209658636
1971-10-29,0.011271717979980514,-0.019987031672811108
1971-11-30,0.022340861674424443,-0.029062885382556275
1971-12-31,-0.0045249171520340276,0.03195600337471054
1972-01-31,-0.017127839313811427,0.06594841448979928
1972-02-29,0.01900479861122658,0.007355460054608163
1972-03-30,0.01715451658197907,-0.0018491978532626297
1972-04-28,-0.00649592863274648,-0.0013611146138735371
