date,xHML,xSHML
1960-07-29,0.03928919513092476,-0.019289777543412087
1960-08-31,0.014788477665988151,-0.004899901169624913
1960-09-30,0.015422788131473665,-0.007396785884206468
1960-10-31,0.006525170904454924,-0.03217735644497831
1960-11-30,-0.013655068908970933,0.006593046855335287
1960-12-30,0.0014827696076219268,-0.009247762599161387
1961-01-31,0.04578487606058543,0.0033580170986934194
1961-02-28,0.0013200132557174213,0.03171116860026128
1961-03-30,0.007231286695815211,0.014474469831761805
1961-04-28,0.01993323879873276,-0.008463402229816635
1961-05-31,-0.002402145482990961,0.023316741699459118
1961-06-30,-0.0039043426586988575,-0.020762911730063293
1961-07-31,-0.005042268082675178,-0.01658146848063343
1961-08-31,-0.015112977651506019,-0.004003086668061822
1961-09-29,-0.025413080028090194,-0.0022987941793199337
1961-10-31,0.003636634540093317,-0.012143132870757814
1961-11-30,0.006526280027449566,-0.00010935499659214809
1961-12-29,0.04328475450017796,-0.0265492178539809
1962-01-31,0.04372479606106477,0.008164973420032116
1962-02-28,0.01828161375085951,-0.008534401237161798
1962-03-30,-0.017530310236170715,0.008343898889733485
1962-04-30,0.008774189898496335,-0.010195564372535888
1962-05-31,0.012589758449103192,-0.029082537389404167
1962-06-29,0.026086666367230345,0.0015478371260809337
1964-07-31,-0.005206808820481416,0.010566762592014008
1964-08-31,0.0038190485738834896,0.0028911307782606543
1964-09-30,0.005669080135148941,-0.006233001727700426
1964-10-30,0.0015676790213651984,0.017395467301725958
1964-11-30,-0.0202166584242417,0.0026845259846504884
1964-12-31,-0.022451972610845077,-0.0007432549839674046
1965-01-29,0.0072184394056389045,0.021674215236341714
1965-02-26,0.0006723762845220159,0.0325533712465697
1965-03-31,0.006860244303607591,0.016510186475311536
1965-04-30,0.00822939049144776,0.0041871254652368975
1965-05-28,-0.001152096923044862,0.002102582046657959
1965-06-30,-0.004776903040090541,-0.038077663812993025
1965-07-30,0.01911361713232569,0.008062164834373265
1965-08-31,-0.02272333875825708,0.03396890576728635
1965-09-30,0.005554857625222329,0.008880160764139493
1965-10-29,0.017222160041117034,0.024737065514997297
1965-11-30,0.0011600530024868938,0.04663140321541103
1965-12-31,0.01416174828784732,0.021017704263743428
1966-01-31,0.02585830738184815,0.03312114471722201
1966-02-28,0.005477299520924095,0.037974191495233324
1966-03-31,-0.010528234449933265,0.004970077474441583
1966-04-29,0.006143882900949436,0.0291087555158497
1966-05-31,-0.024668613400163936,-0.03909730837282596
1966-06-30,0.01532782168769315,0.013385232324307751
1966-07-29,0.012784822379245199,-0.0028515361597293704
1966-08-31,0.009453721500562895,-0.03095430851710164
1966-09-30,0.013289366754285681,-0.0161997905758135
1966-10-31,0.0332822902252351,-0.05533026041046824
1966-11-30,-0.05461209045900221,0.04283209100052921
1966-12-30,-0.00925296748108819,0.01683998857316424
1967-01-31,0.00836161166735283,0.08740349290653672
1967-02-28,-0.0222893741209232,0.025820198141585687
1967-03-31,0.001448648778901919,0.017460390104288785
1967-04-28,-0.012788432622543297,0.005836129599094617
1967-05-31,0.006925753614560666,0.024826472473879847
1967-06-30,0.003470086013126969,0.05787119659148025
1967-07-31,0.028067288592026077,0.02606794328234869
1967-08-31,0.01905039585284013,0.0008786731858893956
1967-09-29,-0.020406164212037878,0.023942493938141657
1967-10-31,-0.02310925706578778,0.005669523891927621
1967-11-30,-0.018957460144854277,-0.0014697134829161056
1967-12-29,0.002587007973382266,0.045571041327293685
1968-01-31,0.047386838836947186,0.037317960884625564
1968-02-29,0.010633396004263454,-0.02875740800570789
1968-03-29,-0.016397515017680254,-0.007482923786169563
1968-04-30,-0.01785290442302226,0.06328908144893074
1968-05-31,-0.008018775973757906,0.06993712013350212
1968-06-28,0.006622068798731315,-0.0041274589671670865
1969-07-31,0.0159836052527378,-0.03200106854685971
1969-08-29,-0.03858467763529505,0.008132232080205554
1969-09-30,-0.02995451547841549,0.01369997592195708
1969-10-31,-0.02813524717442214,0.035142718986400014
1969-11-28,-0.0067150192396619734,-0.024747642842443573
1969-12-31,-0.025389666130291866,-0.036668893900129125
1970-01-30,0.02614212936741593,0.029948443836519956
1970-02-27,0.031961103437062204,-0.021571013783502603
1970-03-31,0.05065759517308041,-0.023133899234170897
1970-04-30,0.06534760218401833,-0.062023978317732445
1970-05-29,0.0433641431175633,-0.04908091749427658
1970-06-30,0.014445144032996494,-0.021954044391625176
1970-07-31,0.01192775012276949,-0.009280440715477567
1970-08-31,0.007898920715437449,0.019881852917650607
1970-09-30,-0.06572743871780767,0.09092170152353438
1970-10-30,-0.0030349417494518055,-0.042233038042173654
1970-11-30,0.015639806786527308,-0.037998494363854315
1970-12-31,0.012568550538568465,0.030308953291140396
1971-01-29,0.02250433772898955,0.07027533591404905
1971-02-26,-0.025281188158062046,0.02450365135723996
1971-03-31,-0.040521700643677286,0.029557480856512906
1971-04-30,-0.001730307624845051,-0.00010849027754051416
1971-05-28,-0.017793453018541683,-0.00901282549624783
1971-06-30,-0.017950850838076602,-0.013484043557777442
1971-07-30,0.005156747677142706,-0.015216987358866639
1971-08-31,0.025197602406552513,-0.0016212603423792285
1971-09-30,-0.023852568680848583,0.0038181480637122086
1971-10-29,-0.001368448352139326,-0.01950463582431196
1971-11-30,-0.013285435025095618,-0.030348968255136097
1971-12-31,-0.006275378288861502,0.0346134685340523
1972-01-31,0.020021006348193468,0.06132242538410618
1972-02-29,-0.026875689669465998,0.011872030874972874
1972-03-30,-0.020980034770437236,-0.0007548823356852124
1972-04-28,0.006571416271743763,-0.0006765775315879319
