date,xMkt
1959-02-28,0.011218040420978004
1959-03-31,0.00452076001667202
1959-04-30,0.03800280217986141
1959-05-31,0.01930175550401457
1959-06-30,-0.0006888564999912101
1959-07-31,0.03247787689480432
1959-08-31,-0.012047122833107948
1959-09-30,-0.04518381492284474
1959-10-31,0.01669584025686995
1959-11-30,0.01835175245895214
1959-12-31,0.02818467882255434
1960-01-31,-0.06727092042033127
1960-02-29,0.014569025198652039
1960-03-31,-0.012254280430911941
1960-04-30,-0.014876561747454973
1960-05-31,0.033808892936554896
1960-06-30,0.022558731912207947
1960-07-31,-0.022454503119294558
1960-08-31,0.03169169499147661
1960-09-30,-0.05809422096694194
1960-10-31,-0.004522151878511939
1960-11-30,0.04820462184323291
1960-12-31,0.047913399865894164
1961-01-31,0.06429335715242349
1961-02-28,0.037409629244208584
1961-03-31,0.031161633389286337
1961-04-30,0.005467951057880819
1961-05-31,0.02524797826070352
1961-06-30,-0.028985645311802182
1961-07-31,0.0302976315618688
1961-08-31,0.027127442755070733
1961-09-30,-0.020942342512213212
1961-10-31,0.02720867058347806
1961-11-30,0.04625721744104428
1961-12-31,0.0034753244900775737
1962-01-31,-0.03635787056301106
1962-02-28,0.02002316421543103
1962-03-31,-0.004428504161138759
1962-04-30,-0.06363927861587071
1962-05-31,-0.08460290461214645
1962-06-30,-0.08283280408725033
1962-07-31,0.06582462764578904
1962-08-31,0.023843340098613552
1962-09-30,-0.05003490898237852
1962-10-31,0.0017686493300619554
1962-11-30,0.11101309401675431
1962-12-31,0.0128288290660854
1963-01-31,0.05215493697766844
1963-02-28,-0.0214807974321051
1963-03-31,0.033140641705320356
1963-04-30,0.047397925436527356
1963-05-31,0.019858985804921164
1963-06-30,-0.0187500941482697
1963-07-31,-0.0013159288748473199
1963-08-31,0.05321511781884338
1963-09-30,-0.013197702791087665
1963-10-31,0.027497586218968764
1963-11-30,-0.006233775698044821
1963-12-31,0.020256822185910635
1964-01-31,0.025896203841626563
1964-02-29,0.01804372661464858
1964-03-31,0.014873480278444302
1964-04-30,0.0035708573004995304
1964-05-31,0.016639308708836058
1964-06-30,0.015014406839486502
1964-07-31,0.020518281041919276
1964-08-31,-0.01170348408785635
1964-09-30,0.02938921943244875
1964-10-31,0.00942610856922748
1964-11-30,0.0032997322423872276
1964-12-31,0.004375176490421838
1965-01-31,0.03766237119456826
1965-02-28,0.0072813073759766
1965-03-31,-0.01001798631315245
1965-04-30,0.03369129598867826
1965-05-31,-0.004927320610423255
1965-06-30,-0.05269015406510014
1965-07-31,0.017869817061367334
1965-08-31,0.03062998292141469
1965-09-30,0.03143807708218202
1965-10-31,0.029220017994924734
1965-11-30,0.004465274027341514
1965-12-31,0.013240893108200046
1966-01-31,0.011855984941322634
1966-02-28,-0.00899988576367978
1966-03-31,-0.02118327654535524
1966-04-30,0.024969228958593177
1966-05-31,-0.05270358780557397
1966-06-30,-0.011998289471364656
1966-07-31,-0.013025605168189968
1966-08-31,-0.07542590169914173
1966-09-30,-0.00645729576823727
1966-10-31,0.042972330812014285
1966-11-30,0.0175960477581236
1966-12-31,0.005553837946405623
1967-01-31,0.08667748206848129
1967-02-28,0.011364692142067334
1967-03-31,0.04387139711876085
1967-04-30,0.042120390135444316
1967-05-31,-0.039915137533652736
1967-06-30,0.028592278639424703
1967-07-31,0.04859366092528954
1967-08-31,-0.005940163713492012
1967-09-30,0.03388723315869916
1967-10-31,-0.026816330258584258
1967-11-30,0.007036031960520734
1967-12-31,0.03285198145294444
1968-01-31,-0.03691021953197237
1968-02-29,-0.033615504988661
1968-03-31,0.0056297075640193315
1968-04-30,0.09528846848059117
1968-05-31,0.027529843794977367
1968-06-30,0.010277482171165545
1968-07-31,-0.02228902651725664
1968-08-31,0.017799927850455748
1968-09-30,0.045116066485569845
1968-10-31,0.00874537770177961
1968-11-30,0.05790633204649171
1968-12-31,-0.03523791400151011
1969-01-31,-0.007139211342942653
1969-02-28,-0.05392774421797941
1969-03-31,0.030659559195043887
1969-04-30,0.019846425202650057
1969-05-31,0.0036724727269621896
1969-06-30,-0.06553530633049275
1969-07-31,-0.06435957632310416
1969-08-31,0.05169410129473272
1969-09-30,-0.025059059720270973
1969-10-31,0.056535422974730215
1969-11-30,-0.03311337582894371
1969-12-31,-0.01696881383935239
1970-01-31,-0.07525807978037256
1970-02-28,0.05809702323591061
1970-03-31,-0.003281749899408547
1970-04-30,-0.1048763158449561
1970-05-31,-0.06409230802855188
1970-06-30,-0.051455074574224366
1970-07-31,0.07508480000629562
1970-08-31,0.050204448864791175
1970-09-30,0.046622624274945415
1970-10-31,-0.018239001378907733
1970-11-30,0.05027535467059082
1970-12-31,0.06050995236944189
1971-01-31,0.05230715788372194
1971-02-28,0.017359742162083518
1971-03-31,0.044154739006511325
1971-04-30,0.033688825703550224
1971-05-31,-0.037065238600997
1971-06-30,0.0032699987022212474
1971-07-31,-0.042250822815127036
1971-08-31,0.04242742008545774
1971-09-30,-0.004982682820158656
1971-10-31,-0.040178079109078
1971-11-30,-0.0007545970704266572
1971-12-31,0.09030616697617716
1972-01-31,0.027001597885092717
1972-02-29,0.030863222221558666
1972-03-31,0.009086017349504745
1972-04-30,0.005463269559659788
1972-05-31,0.015631439575064153
1972-06-30,-0.021612445719019935
1972-07-31,-0.004392471642003525
1972-08-31,0.03562936825455092
1972-09-30,-0.007948354814631244
1972-10-31,0.009768212862089082
1972-11-30,0.049607747272771265
1972-12-31,0.010874234334242554
1973-01-31,-0.028388362999799546
1973-02-28,-0.04446424339942279
1973-03-31,-0.008455945358732479
